sat?,num_variables,num_clauses,time
U,4,9,20
S,4,9,7
S,4,9,10
S,4,9,6
S,4,9,6
U,4,9,10
U,4,9,10
U,4,9,9
S,4,9,9
S,4,9,6
U,8,18,26
S,8,18,20
U,8,18,30
U,8,18,27
S,8,18,14
U,8,18,24
S,8,18,22
U,8,18,17
U,8,18,24
S,8,18,15
U,12,20,30
U,12,20,35
S,12,20,24
U,12,20,29
U,12,20,32
S,12,20,31
S,12,20,30
S,12,20,50
S,12,20,30
S,12,20,30
S,16,30,56
S,16,30,42
U,16,30,58
S,16,30,42
U,16,30,50
U,16,30,54
S,16,30,47
U,16,30,59
U,16,30,58
U,16,30,51
U,18,32,65
U,18,32,72
U,18,32,79
S,18,32,49
S,18,32,53
S,18,32,59
U,18,32,101
S,18,32,47
U,18,32,71
U,18,32,91
S,20,33,58
U,20,33,65
S,20,33,61
U,20,33,66
U,20,33,75
S,20,33,48
U,20,33,83
S,20,33,54
S,20,33,72
S,20,33,40
S,22,38,62
U,22,38,81
U,22,38,87
U,22,38,86
S,22,38,92
U,22,38,81
U,22,38,86
U,22,38,89
S,22,38,75
U,22,38,81
S,24,43,107
S,24,43,133
S,24,43,87
S,24,43,100
S,24,43,83
U,24,43,105
S,24,43,91
S,24,43,70
U,24,43,102
S,24,43,64
U,26,45,101
U,26,45,102
S,26,45,101
U,26,45,107
S,26,45,87
U,26,45,102
U,26,45,111
U,26,45,615
U,26,45,103
S,26,45,97
S,28,47,158
S,28,47,97
S,28,47,110
U,28,47,125
U,28,47,123
U,28,47,346
U,28,47,130
U,28,47,128
U,28,47,107
U,28,47,117
