sat?,num_variables,num_clauses,time
U,4,9,16
S,4,9,3
S,4,9,10
S,4,9,12
S,4,9,1
U,4,9,10
U,4,9,11
U,4,9,10
S,4,9,1
S,4,9,2
U,8,18,216
S,8,18,180
U,8,18,236
U,8,18,184
S,8,18,42
U,8,18,176
S,8,18,79
U,8,18,177
U,8,18,186
S,8,18,81
U,12,20,2968
U,12,20,2726
S,12,20,66
U,12,20,3319
U,12,20,2713
S,12,20,798
S,12,20,662
S,12,20,1590
S,12,20,1846
S,12,20,288
S,16,30,48949
S,16,30,44905
U,16,30,39870
S,16,30,48315
U,16,30,44135
U,16,30,58147
S,16,30,15229
U,16,30,52122
U,16,30,62210
U,16,30,58465
U,18,32,197926
U,18,32,183411
U,18,32,185290
S,18,32,28520
S,18,32,46906
S,18,32,16826
U,18,32,201908
S,18,32,1017
U,18,32,169331
U,18,32,169260
S,20,33,298592
U,20,33,810152
S,20,33,360677
U,20,33,824489
U,20,33,790443
S,20,33,322720
U,20,33,764432
S,20,33,36516
S,20,33,697964
S,20,33,424829
S,22,38,2434480
U,22,38,2662822
U,22,38,3510194
U,22,38,3249053
S,22,38,2886790
U,22,38,3271735
U,22,38,3268687
U,22,38,3073167
S,22,38,437150
U,22,38,3103914
S,24,43,1330588
S,24,43,10319562
S,24,43,2188246
S,24,43,987017
S,24,43,6597721
U,24,43,12376122
S,24,43,4864631
S,24,43,104132
U,24,43,13135045
S,24,43,12021323
U,26,45,54345116
U,26,45,52523147
S,26,45,2955926
U,26,45,49603758
S,26,45,14383719
U,26,45,50870392
U,26,45,49136754
U,26,45,51863541
U,26,45,52653582
S,26,45,27397217
S,28,47,49898033
S,28,47,964193
S,28,47,14685615
